docID,docName,docRoot,docPath,year,coID,coName,toDo,comment
0,2009-ABSA Group annual-report.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA/2009-ABSA Group annual-report.pdf,2009,2,Absa Group,1,Get missing docs
1,2010- ABSA Group annual-report.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA/2010- ABSA Group annual-report.pdf,2010,2,Absa Group,1,Get missing docs
2,2009-12-31-Absa-Bank-Annual-Report.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA/Other,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA/Other/2009-12-31-Absa-Bank-Annual-Report.pdf,2009,3,Absa Bank Ltd,1,Get missing docs
3,2010-12-31-Absa-Bank-Annual-Report.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA/Other,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/ABSA/Other/2010-12-31-Absa-Bank-Annual-Report.pdf,2010,3,Absa Bank Ltd,1,Get missing docs
4,1-african-bank-holdings-ir-2017.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank/1-african-bank-holdings-ir-2017.pdf,2017,34,African Bank Ltd (N),1,
5,1464958532-AfricanBank_IR_FY20131.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank/1464958532-AfricanBank_IR_FY20131.pdf,2013,35,African Bank Ltd (O),1,
6,1464958705-4144_African-Bank-2014annualreport.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank/1464958705-4144_African-Bank-2014annualreport.pdf,2014,35,African Bank Ltd (O),1,
7,1464958761-4144_African-Bank-2015annualreport.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank/1464958761-4144_African-Bank-2015annualreport.pdf,2015,34,African Bank Ltd (N),1,
8,1517467421-ABILIAR2012completelowres.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank/1517467421-ABILIAR2012completelowres.pdf,2012,35,African Bank Ltd (O),1,
9,2009 Full report - PDF 7MB - African Bank.pdf,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank,C:/Users/P522490/Google Drive (UP)/MIT 807 Big Data Science Mini-Dissertation/Annual Reports/Bank/African Bank/2009 Full report - PDF 7MB - African Bank.pdf,2009,35,African Bank Ltd (O),1,
