,coID,coName,docID,docName,year,r_gf,r_f,r_fk,r_dc,r_ari,r_cl,r_lw,r_sm,r_sp,ts_gf,ts_f,ts_fk,ts_dc,ts_ari,ts_cl,ts_lw,ts_sm,ts_ts
0,1,VBS Mutual Bank,357,VBS-2015-Annual-Report.pdf,2015,22.335383998751542,24.77493872562863,18.995163397626346,13.78080737832045,21.10805487603085,12.473820189603082,28.080321285140563,16.404322709996244,11.415405482749835,19.95,-76.44,35.3,7.05,26.2,13.19,19.0,20.6,13.0
1,1,VBS Mutual Bank,358,VBS-2016-Annual-Report.pdf,2016,23.873461737344766,25.284330894319112,20.13476691254346,14.630884430159714,21.617546999978792,10.0297496010126,30.77671068427371,18.7741,11.695419421788857,26.9,-2.67,29.7,3.92,33.6,10.69,8.142857142857142,22.5,30.0
2,2,Absa Group,0,2009-ABSA Group annual-report.pdf,2009,20.83923200599284,27.015037508682468,17.9581097385574,13.767368567543807,19.490907290049407,12.286263089202041,25.916595472020504,35.478918206598934,11.098509415395286,24.3,2.83,27.6,3.35,33.0,13.25,26.666666666666668,22.8,28.0
3,2,Absa Group,1,2010- ABSA Group annual-report.pdf,2010,105.77959428951289,-154.39180430733,97.24300826154908,31.386751583279874,118.04406019598872,-5.284237715626416,142.57053072625698,25.131209103447333,45.91417485171855,121.52,-202.14,116.7,15.29,196.2,65.23,65.0,31.1,65.0
4,3,Absa Bank Ltd,2,2009-12-31-Absa-Bank-Annual-Report.pdf,2009,21.979868288537475,25.429145970247106,18.836095684507523,13.881922214196427,20.607269531442917,12.020478291461448,27.72204624643649,31.995903321462524,11.53813158379505,25.13,9.36,27.2,3.48,34.0,13.36,26.333333333333332,22.9,27.0
5,3,Absa Bank Ltd,3,2010-12-31-Absa-Bank-Annual-Report.pdf,2010,22.37474070228666,24.574998646136635,19.115606903265206,13.876533877894936,21.039939207983835,12.15412773106502,28.249444268021595,29.74093381505303,11.653700752701743,24.56,10.68,26.7,3.38,33.1,13.07,37.0,22.7,27.0
6,5,Firstrand Bank Ltd,120,firstrand-annual-report 2012.pdf,2012,23.45878174882657,23.19424984029942,19.790253296592983,14.458560876871067,22.17452199539961,12.346040933431944,29.38339416058394,24.88258972004262,12.147368395492562,24.48,-5.95,28.9,3.43,33.0,13.19,73.0,22.4,29.0
7,5,Firstrand Bank Ltd,121,firstrand-annual-report 2013.pdf,2013,23.34965871065667,23.211331097696075,19.740541884115128,14.714242313066672,21.942425278220718,12.176677428823009,29.28780325689598,19.25348870159114,12.211264006402343,25.42,-8.49,29.9,3.52,34.1,13.01,67.0,22.9,30.0
8,5,Firstrand Bank Ltd,122,firstrand-annual-report 2014.pdf,2014,24.30837730501162,22.65961671831812,20.505041586673006,14.716937176930486,22.692931319508347,11.361597437228198,30.99824253075571,26.31093353404126,12.321152630454879,25.62,-1.14,29.1,3.39,33.8,12.03,78.0,22.6,13.0
9,5,Firstrand Bank Ltd,123,firstrand-annual-report 2015.pdf,2015,22.852092947451265,23.447981814164024,19.39295170338271,14.567346980119153,21.62253126139796,12.576603373689863,28.562553678786145,18.669449996058646,12.020528458021804,23.98,3.54,27.3,3.32,32.7,13.3,78.0,22.5,13.0
10,5,Firstrand Bank Ltd,125,firstrand-annual-report 2017.pdf,2017,22.785523709917,23.41970101320331,19.292115230973263,14.491070807319193,21.68276118742336,12.917655670017098,28.431882879219195,23.673817374546672,11.921568584577706,23.0,-2.09,27.4,3.29,31.7,13.71,25.0,22.1,23.0
11,5,Firstrand Bank Ltd,126,firstrand-annual-report 2018.pdf,2018,22.493295735508855,24.74934414194405,18.965720774252194,14.460272780384646,21.1849896393314,12.653525218229749,27.9182427107959,20.890749979661237,11.823985383536147,22.89,-1.89,27.3,3.26,31.4,13.54,37.5,22.0,22.0
12,5,Firstrand Bank Ltd,127,firstrand-annual-report 2019.pdf,2019,23.254200083406836,25.321415637519152,19.625157334890385,14.934531809485973,22.037523331316983,11.840088270923836,29.608103779628443,31.673782534580763,12.438113229958775,25.5,-8.79,30.0,3.51,34.2,12.72,36.0,22.4,13.0
13,7,Investec Bank Ltd,189,Annual-Silo-IBL-2009.pdf,2009,22.601642204642758,25.168721971428255,19.200112641407376,14.388764817740952,20.970027701320134,11.642268387137236,28.381292728402734,23.936884649020183,11.962485957615081,22.46,-17.08,29.0,3.31,29.2,12.03,24.666666666666668,21.1,29.0
14,7,Investec Bank Ltd,190,FINAL-Investec-IBP -15-June-2018-22h04.pdf,2018,26.074550850109723,16.322437942235524,22.170116400640058,14.823953167178967,25.040437458095028,12.29450653189663,34.18456375838926,28.26951107460258,13.00036197559181,25.92,-1.24,29.2,3.56,34.6,12.9,23.0,23.0,23.0
15,7,Investec Bank Ltd,191,IBL-Report-2010.pdf,2010,23.747755501797293,21.75906781902148,20.457288926690506,14.457418914984038,22.713947561263765,11.830203805305988,30.97548426150121,23.191605576323212,12.349156606022591,22.41,-8.62,27.9,3.27,29.2,12.09,74.0,21.2,28.0
16,7,Investec Bank Ltd,192,Investec-Bank-PLC-annual-report-March-2016.pdf,2016,25.463707538271066,17.085906160720867,21.86999796514704,14.924836369062639,24.591797144829982,12.230232719350365,33.529299847793,25.692639881853648,12.977335596089826,25.01,1.1,28.3,3.45,33.4,12.84,14.4,22.6,13.0
17,7,Investec Bank Ltd,193,Investec-Bank-plc-report-2017.pdf,2017,25.708067301246388,17.53168759767405,21.80862275699292,14.92304775452566,24.544109632304917,12.168645574607307,33.48380726698262,26.775545525702167,12.982066333703225,25.72,-0.64,28.9,3.55,34.1,12.72,22.666666666666668,22.8,23.0
